module_address,module,did,response_length,name,name_en,name_zh,offset,size_bytes,bit_mask,bit_length,endian,signed,scale,add,unit,value_min,value_max,observed_samples,observed_min,observed_max,observed_range_withheld,confidence,evidence,source_report
0x10,ECM/PCM engine control,0x2610,54,ENGINE_RPM,Engine RPM,发动机转速,6,2,,16,big,False,0.25,0,rpm,0,16383.75,53908,0,5300,False,high,r = 0.99999984 against the tuning tool's RPM column,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,MAP_ABS,Manifold absolute pressure,进气歧管绝对压力,9,2,,16,big,False,0.0078125,0,kPa,0,511.9921875,53908,22.2734375,282.3515625,False,high,matches the tuning tool's MAP column; a 282 kPa absolute peak under full boost lines up with the in-car display reading 1.83 bar gauge,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,ECT,Engine coolant temperature,冷却液温度,11,1,,8,big,False,1,-40,degC,-40,215,53908,33,90,False,high,agrees item by item with the in-car coolant temperature display,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,IAT,Intake air temperature,进气温度,13,1,,8,big,False,1,-40,degC,-40,215,53908,33,65,False,high,matches the tuning tool's IAT column,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,MAP_RELATED_B14,MAP-related byte 14 (candidate),MAP相关量（候选）,14,1,,8,big,False,1.579,-19.76,kPa,-19.76,382.885,53908,22.873,278.671,False,low,"not integer kPa and not linear over the full range; the fit coefficients change once positive boost is included, with up to ~31 kPa residual",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,MAP_ALT_INT,Manifold pressure (8-bit),MAP 整数版,15,1,,8,big,False,1,0,kPa,0,255,53908,23,255,False,medium,"a coarse MAP, r = 0.995 against the 16-bit one; saturates at 255 under high boost, so the 8-bit range is insufficient",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,BARO,Barometric pressure,大气压,17,1,,8,big,False,1,0,kPa,0,255,53908,100,101,False,medium,"two integer points on two days (1006 hPa→100, 1009 hPa→101); VSA `4005[21]` carries the same value",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,VEHICLE_SPEED,Vehicle speed,车速,18,1,,8,big,False,1,0,km/h,0,255,53908,0,137,False,high,verified 0–114 km/h; the 0.621 slope against the tool's mph column is exactly the unit conversion,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,LOAD_ALT,Engine load (candidate),负荷相关量 (候选),19,1,,8,big,False,0.7615,2.46,flashpro_AIRC_unit,2.46,196.6425,53908,2.46,187.5045,False,low,"r = 0.98 against air charge, nature undetermined. It is currently the single best gating proxy for `2610[39]`, but very likely derives from the same internal load quantity, so it is not independent evidence",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,IGN_ADVANCE,Ignition advance,点火提前角,21,1,,8,big,False,0.5,-64,deg,-64,63.5,53908,-42,43.5,False,high,matches the tuning tool's ignition advance column,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,BATTERY_V,Battery voltage,电瓶电压,22,1,,8,big,False,0.1,0,V,0,25.5,53908,6,14.6,False,high,96% of samples agree point for point with the tuning tool,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,INJ_PULSE,Injector pulse width,喷油脉宽,24,2,,16,big,False,0.001,0,ms,0,65.535,53908,0,39.251,False,high,matches the tuning tool's injector pulse width column,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,FUEL_PUMP_DUTY,Fuel pump duty,燃油泵占空比,26,2,,16,big,False,0.1111111111111111,0,%,0,7281.666666667,53908,4.444444444,111.111111111,False,medium,"stands in a 10/9 normalised relation to another channel, which looks more like a pump duty cycle than a low-side fuel pressure",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,AC_REQUEST,A/C request,空调请求,32,1,0x3,2,big,False,1,0,bool,0,3,53908,0,3,False,medium,"takes 0x00 / 0x01 / 0x03 in the archive: 0x01 with the key on and the engine off, 0x03 about 5 s after start. bit1 is exactly the bit the public signal set points at, **but nobody ever marked the A/C switch, so this stays a candidate**",cross-check against public signal sets (2026-09-14); bit-order correction (2026-09-20)
0x10,ECM/PCM engine control,0x2610,54,AIRFLOW,Mass air flow,进气流量,34,2,,16,big,False,0.01,0,g/s,0,655.35,53908,0,212.91,False,high,r = 0.99996 against the relation AFM.c = 30000·AFM/RPM,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,ECT2,Slow-response temperature (candidate),慢响应温度候选,38,1,,8,big,False,1,-40,degC,-40,215,53908,28,87,False,low,"r = 1.000 against the tuning tool's ECT2 column, yet within one 292 s file it moves 34→39 °C while coolant goes 58→79 °C — a location with far more thermal inertia",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,BOOST_LOAD_STATE,Boost load state,增压负荷状态,39,1,,8,big,False,1,0,enum,0,255,53908,0,2,False,medium,"re-checked over the whole archive (31 logs, 53,908 samples, 180 state changes): every non-zero state has MAP_ABS ≥ 100.25 kPa. **A single pressure threshold and a Schmitt hysteresis are both refuted**; state 2 has only 8 independent entries, so its threshold is not identifiable",candidate review (2026-09-18); full-archive re-check (2026-09-20)
0x10,ECM/PCM engine control,0x2610,54,AIR_CHARGE_ALT,Air charge (8-bit),气缸充气量 (8 位),40,1,,8,big,False,0.3567,-0.23,flashpro_AIRC_unit,-0.23,90.7285,53908,-0.23,90.7285,False,medium,r = 0.99 against the tuning tool's air-charge column; an 8-bit version of it,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,IAT2,Intake air temperature 2,进气温度 2,42,1,,8,big,False,1,-40,degC,-40,215,53908,28,71,False,high,matches the tuning tool's IAT2 column; the physical location is not inferred from the name,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,OIL_PRESSURE_SENSOR_8BIT,Engine oil pressure (8-bit),机油压力8位相关候选,43,1,,8,big,False,3.921,-148.5,kPa,-148.5,851.355,53908,0.498,623.937,False,medium,"r = 0.99995 against the 16-bit oil pressure, but **its zero is not zero** (raw = 38 at a true 0 kPa), so it cannot be used as a pressure directly",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
